String,Country
12295,Egypt
12454,Colombia
"12054, 12054A, 12054B, 12054C, 12054DEF",Canada
"12055, 12055AB, 12055C, 12055D, 12055F",Canada
11848,United States
12066,United States
12215,United States
12540,United States
12563,United States
12874,United States
13059,United States
13303,United States
13761,United States
14459,United States
13887,United States
12029,Canada
12030,Canada
12418,Canada
12419,Canada
12580,Canada
12581,Canada
13281,Canada
13282,Canada
13688,Canada
13689,Canada
14119,Canada
14163,Canada
14517,Canada
14155,United States
11950,United States
13671,Mexico
13542,Canada
13788,Canada
13497,Tunisia
12332,United States
11895,United States
12474,Congo
12128,United States
"11613, 11613A, 11613A, 11613 B&C, 11613D, 11613F",Canada
12351,Saudi Arabia
12352,Saudi Arabia
12527,Qatar
11826,Canada
11827,Canada
12046,Ecuador
12861,Ukraine
14516,United States
14009,United States
13795,Nigeria
11857,United States
11915,Colombia
12774,United States
13804,Canada
13805,Canada
14072,Canada
14491,United Arab Emirates
14492,United Arab Emirates
14493,United Arab Emirates
14719,United Arab Emirates
14720,United Arab Emirates
13820,Argentina
12412,Congo
13446,Congo
14006,Congo
14398,Congo
12958,Colombia
13623,Colombia
12890,United States
11787,Canada
13360,India
13361,United Arab Emirates
14054,United States
11875,Iraq
12328,Iraq
12375,Iraq
12376,Iraq
"11573,",Iraq
13670,United States
12456,Colombia
11172,Canada
13776,United States
14081,United States
13545,United States
14106,United States
13180,Mexico
14211,United States
12280,Mexico
12457,United States
14700,Ecuador
14165,Algeria
14166,Algeria
11994,United States
11893,United States
14205,Canada
14324,Canada
14583,Canada
13394,Mexico
12605,Egypt
14839,United States
12796,Congo
12789,Canada
12790,Canada
14542,United States
13296,Saudi Arabia
12069,Ecuador
1268713701,United States
12906,United States
12907,United States
12099,Mexico
"13889A,B,C,D,E",United States
13450,Ecuador
11202,United States
13587,United States
13251,United States
14438,United States
13847,United Kingdom
12687,Canada
10854B,United States
12037,Colombia
12567,United States
12362,United States
14103,United States
11935,Denmark
12297,United States
11821,Algeria
12634,Algeria
12635,Algeria
13008,Algeria
13009,Algeria
14707,Congo
12682,Norway
13032,Canada
11913,Chile
14834,Chile
12476,United States
12619,United States
12667,United States
"11491,",United States
14256,United States
14429,United States
12184,Ecuador
13094,Ecuador
"13529B.C,D,E,F",Canada
12669,United States
14390,United States
13033,Canada
14633,Mexico
13358,Saudi Arabia
12788,Italy
14292,Nigeria
14293,Nigeria
14294,Nigeria
14295,Nigeria
12296,Egypt
14096,Norway
14097,Norway
"11519, , 11519A, 11519A, 11519 B C D E, 11519 B C D E, 11519 F",Canada
13622,Mexico
"11949, 11949C",Canada
14086,United States
11958,Tunisia
13044,United States
12490,United States
14035,United States
14122,Canada
14262,United States
12091,United States
12134,United States
12475,United States
12092,United States
13116,United States
14090,United States
13749,Italy
13083,Mexico
12028,Canada
12965,United States
13962,Canada
12852,Egypt
11707,Colombia
12485,Mexico
12881,United States
12148,Norway
12571,Mexico
11914,Colombia
12335,Norway
12336,Norway
13558,United States
12627,Algeria
13117,United States
13118,United States
13380,Canada
14297,Mexico
12572,Mexico
11876,Iraq
11877,Iraq
12329,Iraq
12372,Iraq
12373,Iraq
12374,Iraq
12878,Iraq
12918,Iraq
12919,Iraq
12920,Iraq
13271,Mexico
13643,United States
13734,Canada
14105,Canada
"11434,",United States
14640,Mexico
12070,Mexico
13779,United States
13557,Ecuador
"11564,",United States
13415A,United States
11846,Canada
13635,Qatar
13152,Mexico
12725,United States
14716,Algeria
12798,Canada
"11549,",United States
13415,United States
13835,United States
11921E-H,Canada
13827A,Mexico
11778,Mexico
13421,Mexico
11447,United Arab Emirates
12452,United States
9892,United States
13272,Mexico
11470,United States
13255,United States
14331,United States
11852,Vietnam
13462,United States
13479,United States
12368,Canada
12369,Canada
12370,United States
12442,United States
14540,Italy
12636D--G,Canada
12772,United States
11949AB,Canada
10669A,United States
"13038AA,AB,AC",Canada
14004,Canada
14334,Canada
13413,Mexico
13414,Mexico
14091,Mexico
14092,Mexico
12856,United States
13012,United States
12872,Mexico
"12239, 12239A,B, 12239 C",Canada
12762,Mexico
"11640 C, 11640C",Canada
11909,United States
8232,United States
11687,United States
11688,United States
11921BCD,Canada
12608,United States
12011,United States
"13529G,H,I",Canada
"13703A,B,C",Canada
"13531E-G,13703D",Canada
11444,Argentina
"12636D,E,F",Canada
11990,United States
"12566A, 12566, 12566A",Canada
"13531A,B",Canada
"13038AD,13038AD,13039H",United States
11691,Canada
"13531C,D",Canada
11874C-D,Canada
13158,Canada
12887A,United States
14095,Canada
12389,Colombia
11949C,Canada
10182,United States
12364,Canada
"11788, 11788 G, 11788A, 11788B, 11788C, 11788D, 11788E, 11788 F, 11788F",Canada
12687A,Canada
13529A,Canada
12566,Canada
"12604M,13139A",United States
12889G,Canada
"12604, 12604ABCD",Canada
14009A,United States
"11172, 11172A",Canada
13888A,United States
12055E,Canada
12055F,Canada
13704A,Canada
12658B,United States
12887C,United States
13633A-1,United States
13633A-2,United States
13633A-3,United States
13462A,United States
14441,United States
12887B,United States
11081,Canada
10057D,Canada
14668,United States
11716,Mexico
11717,Mexico
11718,Mexico
11719,Mexico
11720,Mexico
,United States
13339,United States
11836,Kuwait
12035,Argentina
13697,United States
